RUNNING: mem.p8
0x0000.0000: 1
0x0001.0000: 0
0x0002.0000: 0
0x0003.0000: 0
0x0004.0000: 0
0x0005.0000: 40
0x0006.0000: 0
0x0007.0000: 0
0x0008.0000: 0
0x0009.0000: 0
0x000a.0000: 0
0x000b.0000: 0
0x000c.0000: 0
0x000d.0000: 0
0x000e.0000: 0
0x000f.0000: 0
0x0010.0000: 0
0x0011.0000: 0
0x0012.0000: 0
0x0013.0000: 0
0x0014.0000: 0
0x0015.0000: 13
0x0016.0000: 7
0x0017.0000: 44
0x0018.0000: 1
0x0019.0000: 11
0x001a.0000: 31
0x001b.0000: 44
0x001c.0000: 1
0x001d.0000: 6
0x001e.0000: 57
0x001f.0000: 14
0x0020.0000: 1
0x0021.0000: 1
0x0022.0000: 57
0x0023.0000: 6
0x0024.0000: 1
0x0025.0000: 0
0x0026.0000: 0
0x0027.0000: 0
0x0028.0000: 0
0x0029.0000: 0
0x002a.0000: 0
0x002b.0000: 0
0x002c.0000: 0
0x002d.0000: 0
0x002e.0000: 0
0x002f.0000: 0
0x0030.0000: 0
0x0031.0000: 0
0x0032.0000: 0
0x0033.0000: 0
0x0034.0000: 0
0x0035.0000: 0
0x0036.0000: 0
0x0037.0000: 0
0x0038.0000: 0
0x0039.0000: 0
0x003a.0000: 0
0x003b.0000: 0
0x003c.0000: 0
0x003d.0000: 0
0x003e.0000: 0
0x003f.0000: 0
0x0040.0000: 0
0x0041.0000: 0
0x0042.0000: 0
0x0043.0000: 0
0x0044.0000: 0
0x0045.0000: 0
0x0046.0000: 0
0x0047.0000: 0
0x0048.0000: 0
0x0049.0000: 0
0x004a.0000: 0
0x004b.0000: 0
0x004c.0000: 0
0x004d.0000: 0
0x004e.0000: 0
0x004f.0000: 0
0x0050.0000: 0
0x0051.0000: 0
0x0052.0000: 0
0x0053.0000: 0
0x0054.0000: 0
0x0055.0000: 0
0x0056.0000: 0
0x0057.0000: 0
0x0058.0000: 0
0x0059.0000: 0
0x005a.0000: 0
0x005b.0000: 0
0x005c.0000: 0
0x005d.0000: 0
0x005e.0000: 0
0x005f.0000: 0
0x0060.0000: 0
0x0061.0000: 0
0x0062.0000: 0
0x0063.0000: 0
0x0064.0000: 0
0x0065.0000: 0
0x0066.0000: 0
0x0067.0000: 0
0x0068.0000: 0
0x0069.0000: 0
0x006a.0000: 0
0x006b.0000: 0
0x006c.0000: 0
0x006d.0000: 0
0x006e.0000: 0
0x006f.0000: 0
0x0070.0000: 0
0x0071.0000: 0
0x0072.0000: 0
